dpb	gw124A_BPA03	surv124A_BPA03
0	0.1150735	1
13	0.172428	0.9411765
34	0.4146226	0.8753328
59	1.25	0.8753328
76	2.1742574	0.8753328
97	3.7572139	0.8709995
118	6.4736842	0.8493329
139	9.7326203	0.8359223
160	14.8918919	0.826982
181	22.4858757	0.826982
202	31.9318182	0.8223098
223	43.4571429	0.8176376
244	60.1436782	0.8129654
286	98.2369942	0.8082931
298.5	112.5333333	0.8082931
327	138.8	0.8082931
375	218.1208054	0.8029045
431	343.1208054	0.8029045
488	515.2013423	0.8029045
552	754.7315436	0.8029045
552.5	728.4459459	0.8029045
608	831.7567568	0.8029045
664	992.6351351	0.8029045
720	1181.8	0.8029045
781	1394.4	0.8029045
837	1587.083333	0.7707883
893	1843.369565	0.7386722
893.5	1960.131579	0.7386722
949	2264.210526	0.7386722
1005	2303.289474	0.7386722
