dpb	gw124A_BPA100	surv124A_BPA100	gw124B_BPA100	surv124B_BPA100	gw124C_BPA100	surv124C_BPA100
0	0.1118056	1	0.1045455	1	0.09874214	1
13	0.1415929	0.8055556	0.1472603	0.9675325	0.1527027	0.9496855
34	0.36375	0.6558505	0.3403101	0.9277709	0.3379845	0.8919344
59	1	0.6394543	0.9576271	0.9205788	0.93706897	0.8711917
76	1.7794118	0.6394543	1.6940678	0.9205788	1.675	0.8711917
97	3.2735294	0.6394543	3.0466102	0.9205788	3.05172414	0.8711917
118	5.5555556	0.6300505	5.3982301	0.9127773	5.3539823	0.8711917
139	9.0322581	0.6200497	8.4513274	0.9127773	8.125	0.8634821
160	14.7580645	0.6200497	14.3243243	0.896622	13.48214286	0.8634821
181	22.0338983	0.6200497	21.588785	0.8885443	20.63636364	0.8634821
202	32.7118644	0.6200497	32.3364486	0.8885443	30.77272727	0.8634821
223	46.2711864	0.6200497	47.9906542	0.8885443	43.62385321	0.8556322
244	61.1864407	0.6200497	60.9433962	0.8802401	55.97222222	0.8477824
286	100.3389831	0.6200497	105.5714286	0.871936	95.9047619	0.8242329
