dpb	gw124_BPA300	surv124_BPA300
0	0.09329609	1
13	0.1023077	0.7877095
34	0.2214953	0.7210572
59	0.6319588	0.7210572
76	1.129167	0.7136236
97	1.969892	0.6913228
118	3.235294	0.6764557
139	5.180723	0.6605391
160	8.951613	0.6525808
181	13.16327	0.6525808
202	19.18367	0.6525808
223	28.26531	0.6525808
244	40.72917	0.6392628
286	73.4375	0.6392628
298.5	87	0.6392628
327	110.4167	0.6392628
375	180.8333	0.6392628
431	301.6667	0.6392628
488	480.4167	0.6392628
552	706.7021	0.6259448
552.5	706.7021	0.6259448
608	844.6739	0.6126269
664	1042.717	0.6126269
720	1304.286	0.6126269
781	1598.393	0.6126269
837	1881.964	0.6126269
893	2138.75	0.6126269
893.5	2138.75	0.6126269
949	2473.393	0.6126269
1005	2517.5	0.6126269
