dpb	gw124iniA	surv124iniA	gw124iniB	surv124iniB	gw124iniC	surv124iniC
0	0.1181818	1.0000000	0.1026596	1.0000000	0.1088398	1.0000000
13	0.1785276	0.9431818	0.1675978	0.9680851	0.1748538	0.9613260
34	0.4401361	0.9142499	0.4166667	0.9194104	0.4314103	0.9388388
59	1.2429630	0.9018111	1.1756579	0.9194104	1.2558621	0.9328206
76	2.1733333	0.9018111	2.0960526	0.9194104	2.1944828	0.9328206
97	3.8037037	0.9018111	3.6315789	0.9194104	3.9806897	0.9328206
118	6.6153846	0.8951310	5.9246575	0.9073129	6.6906475	0.9135209
139	10.6201550	0.8882454	10.0344828	0.9010985	11.2773723	0.9003767
160	17.1317829	0.8882454	16.1724138	0.9010985	18.1751825	0.9003767
181	26.7460317	0.8882454	25.1428571	0.8886695	27.3880597	0.9003767
202	38.7301587	0.8882454	34.3795620	0.8696266	38.8721805	0.8936575
223	53.3730159	0.8882454	47.6642336	0.8696266	53.6090226	0.8936575
244	68.1200000	0.8811958	59.8888889	0.8569313	67.5939850	0.8936575
286	112.2400000	0.8811958	96.4661654	0.8442360	109.6240602	0.8936575
